ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
kasuari_0001,mckalamang,e mama...,#	e	mama,#	hey	Mama,Hey mama...,en,MORPHEME_ALIGNED,Malay,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,2009,2770,#nc	nc	nc,,kasuari,∅	∅	∅,∅	∅	∅,∅	∅	∅
kasuari_0002,mckalamang,[AUDIENCE] palan palan e.,#	pelan	pelan	e,#	NC	NC	NC,[AUDIENCE] Take it easy.,en,MORPHEME_ALIGNED,Malay,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,2770,4041,#nc	nc	nc	nc,,kasuari,∅	∅	∅	∅,∅	∅	∅	∅,∅	∅	∅	∅
kasuari_0003,mckalamang,yo eba ma taikon tamanggara ma bara ma taikon ma tamangga mu uninsineinggara bara,#	yo	eba	ma	taikon	tamangga-ra	ma	bara	#	ma	taikon	#	ma	tamangga	#	mu	uninsinei	=ngga-ra	bara,#	yes	then	3SG	side	where.LAT-NFIN	3SG	descend	#	3SG	side	#	3SG	where.LAT	#	3PL	Teluk_Buruwai	=LAT-NFIN	descend,"Yes, so he came from which side, he came down, from where, they came down to Uninsinei bay",en,MORPHEME_ALIGNED,,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,4041,6880,##	other	other	pro.n:s	rn	lv	nc_pro.n	v:pred	#nc	nc_pro.n	nc	#nc	nc_pro.n	nc	##	pro.n:s	pn_np:l	=rn	v:pred,,kasuari,∅	∅	∅	101	∅	∅	101	∅	∅	101	∅	∅	101	∅	∅	102	106	∅	∅,∅	∅	∅	101	∅	∅	101	∅	∅	101	∅	∅	101	∅	∅	102	106	∅	∅,∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	new	∅	∅
kasuari_0004,mckalamang,Uninsineinggara bara,#	ZERO	uninsinei	=ngga-ra	bara,#	ZERO	Teluk_Buruwai	=LAT-NFIN	descend,came down to Uninsinei bay,en,MORPHEME_ALIGNED,,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,6880,8280,##	0.n:s	pn_np:g	=rn	v:pred,,kasuari,∅	102	102	∅	∅,∅	102	102	∅	∅,∅	∅	∅	∅	∅
kasuari_0005,mckalamang,[INTERVIEWER] yo ini dia rekam silakan cerita pulau kasowari dengan anjing kalamangmang,#	yo	ini	dia	rekam	silikan	cerita	pulau	kasowari	dengan	anjing	Kalamangmang,#	yes	this	3SG	record	please	tell	island	cassowary	and	dog	speak_Kalamang,"[INTERVIEWER] Yes, it records, please tell the story about Cassowary and Dog island, in Kalamang",en,MORPHEME_ALIGNED,Malay,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,8361,15950,#nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc,,kasuari,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
kasuari_0006,mckalamang,anjing,#	anjing,#	dog,Dog?,en,MORPHEME_ALIGNED,Malay,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,15950,16720,#nc	nc_np.n,,kasuari,∅	103,∅	103,∅	new
kasuari_0007,mckalamang,[UNCLEAR],#	[UNCLEAR],#	NC,[UNCLEAR],en,MORPHEME_ALIGNED,,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,16720,17720,#nc	nc,,kasuari,∅	∅,∅	∅,∅	∅
kasuari_0008,mckalamang,bal bal me,#	bal	bal	me,#	dog	dog	DIST,"That dog,",en,MORPHEME_ALIGNED,,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,21001,22521,##	nc	np.n:dt_poss	rn,,kasuari,∅	∅	103	∅,∅	∅	103	∅,∅	∅	∅	∅
kasuari_0009,mckalamang,inun dolok anjing bal,in	-un	Dolok	anjing	bal,name	-3POSS	Dolok	dog	dog,"his name was Dolok, the dog.",en,MORPHEME_ALIGNED,,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,23089,24774,np:s	-rn_pro.n:poss	pn_np.n:pred	nc_np.n	nc_np.n,,kasuari,∅	103	∅	103	103,∅	103	∅	103	103,∅	∅	∅	∅	∅
kasuari_0010,mckalamang,dolok dolok,Dolok	Dolok,Dolok	Dolok,"Dolok, Dolok.",en,MORPHEME_ALIGNED,,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,24774,28414,nc_pn_np	nc_pn_np,,kasuari,∅	∅,∅	∅,∅	∅
kasuari_0011,mckalamang,anjing tadi,#	anjing	tadi,#	dog	earlier,That dog...,en,MORPHEME_ALIGNED,Malay,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,,29489,30257,#nc	nc_np.n	rn,,kasuari,∅	103	∅,∅	103	∅,∅	∅	∅
