corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
kalamang	monyet	0001	#	#	##	##				
kalamang	monyet	0001	mindi	like_that	other	other				
kalamang	monyet	0001	=ta	=NFIN	=other	=other				
kalamang	monyet	0001	me	TOP	other	other				
kalamang	monyet	0001	leki	monkey	nc	nc				
kalamang	monyet	0001	=bon	=COM	nc	nc				
kalamang	monyet	0002	monyet	monkey	np.d:predex	np	d	predex	401	new
kalamang	monyet	0002	=bon	=COM	=rn	=rn				
kalamang	monyet	0002	neba	PLH	other	other				
kalamang	monyet	0002	kusukusu	cuscus	rn_np.d	rn_np	d		402	new
kalamang	monyet	0002	=bon	=COM	=rn	=rn				
kalamang	monyet	0003	#	#	##	##				
kalamang	monyet	0003	kusukusu	cuscus	np.d:a	np	d	a	402	
kalamang	monyet	0003	nemba	INTJ	nc	nc				
kalamang	monyet	0003	=at	=OBJ	=rn	=rn				
kalamang	monyet	0003	paning	ask	v:pred	v		pred		
kalamang	monyet	0003	leki	monkey	np.d:p	np	d	p	401	
kalamang	monyet	0003	=at	=OBJ	=rn	=rn				
kalamang	monyet	0004	#	#	##ds	##ds				
kalamang	monyet	0004	eh	QUOT	other	other				
kalamang	monyet	0004	leki	monkey	np.d:voc	np	d	voc		
kalamang	monyet	0005	me	TOP	other	other				
kalamang	monyet	0005	pier	1DU.INCL	pro.1:s	pro	1	s	403	bridging
kalamang	monyet	0005	bo	go	lv	lv				
kalamang	monyet	0005	kairep	get_firewood	v:pred	v		pred		
kalamang	monyet	0005	=ta	=NFIN	=rv	=rv				
kalamang	monyet	0005	ba	then	other	other				
kalamang	monyet	0006	#	#	##ds	##ds				
kalamang	monyet	0006	ZERO	ZERO	0.1:a	0	1	a	403	
kalamang	monyet	0006	ZERO	ZERO	0:p	0		p	404	bridging
kalamang	monyet	0006	merengguen-da	gather-NFIN	v:pred	v		pred		
kalamang	monyet	0006	#	#	##ds	##ds				
kalamang	monyet	0006	ZERO	ZERO	0.1:a	0	1	a	403	
kalamang	monyet	0006	ZERO	ZERO	0:p	0		p	404	
kalamang	monyet	0006	bo	go	lv	lv				
kalamang	monyet	0006	parin-de	sell-NFIN	v:pred	v		pred		
kalamang	monyet	0006	lengleng-go	village-LOC	np:l	np		l		
kalamang	monyet	0007	#	#	##	##				
kalamang	monyet	0007	mindi	like_that	other	other				
kalamang	monyet	0007	=ta	=NFIN	=other	=other				
kalamang	monyet	0007	me	TOP	other	other				
kalamang	monyet	0008	leki	monkey	np.d:s_ds	np	d	s_ds	401	
kalamang	monyet	0008	toni	say	v:pred	v		pred		
kalamang	monyet	0008	yuo	yes	other	other				
kalamang	monyet	0009	#	#	##	##				
kalamang	monyet	0009	mier	3DU	pro.d:a	pro	d	a	403	
kalamang	monyet	0009	se	IAM	other	other				
kalamang	monyet	0009	bo	go	lv	lv				
kalamang	monyet	0009	kelak	mountain	np:g	np		g	406	new
kalamang	monyet	0009	=ka	=LAT	=rn	=rn				
kalamang	monyet	0009	kai	firewood	np:p	np		p	404	
kalamang	monyet	0009	=at	=OBJ	=rn	=rn				
kalamang	monyet	0009	rep	get	v:pred	v		pred		
kalamang	monyet	0010	#	#	##	##				
kalamang	monyet	0010	ZERO	ZERO	0.d:a	0	d	a	403	
kalamang	monyet	0010	kai	firewood	np:p	np		p	404	
kalamang	monyet	0010	=at	=OBJ	=rn	=rn				
kalamang	monyet	0010	rew	get	v:pred	v		pred		
kalamang	monyet	0010	=i	=PLNK	=rv	=rv				
kalamang	monyet	0010	rew	get	nc	nc				
kalamang	monyet	0010	=i	=PLNK	nc	nc				
kalamang	monyet	0010	rew	get	nc	nc				
kalamang	monyet	0010	=i	=PLNK	nc	nc				
kalamang	monyet	0010	me	TOP	other	other				
kalamang	monyet	0011	rew	get	nc	nc				
kalamang	monyet	0011	=i	=PLNK	nc	nc				
kalamang	monyet	0011	rew	get	nc	nc				
kalamang	monyet	0011	=i	=PLNK	nc	nc				
kalamang	monyet	0011	rew	get	nc	nc				
kalamang	monyet	0011	=i	=PLNK	nc	nc				
kalamang	monyet	0012	#	#	##	##				
kalamang	monyet	0012	ZERO	ZERO	0.d:a	0	d	a	403	
kalamang	monyet	0012	ZERO	ZERO	0:p	0		p	404	
kalamang	monyet	0012	merengguen	gather	v:pred	v		pred		
kalamang	monyet	0012	terus	then	other	other				
kalamang	monyet	0012	#	#	##	##				
kalamang	monyet	0012	mu	3PL	pro.d:a	pro	d	a	403	
kalamang	monyet	0012	he	IAM	other	other				
kalamang	monyet	0012	ZERO	ZERO	0:p	0		p	404	
kalamang	monyet	0012	kanie-n	tie-N	v:pred	v		pred		
kalamang	monyet	0013	#	#	##	##				
kalamang	monyet	0013	ZERO	ZERO	0.d:a	0	d	a	403	
kalamang	monyet	0013	ZERO	ZERO	0:p	0		p	404	
kalamang	monyet	0013	kanie-n	tie-N	v:pred	v		pred		
kalamang	monyet	0013	kanie-n	tie-N	nc	nc				
kalamang	monyet	0013	#	#	##	##				
kalamang	monyet	0013	o	EMPH	other	other				
kalamang	monyet	0013	pou	bundle	np:s	np		s	405	bridging
kalamang	monyet	0013	-un	-3POSS	-rn_pro.d:poss	-rn_pro	d	poss	403	
kalamang	monyet	0013	wa-ra-rip	PROX-RED-DGR	dem_pro:pred_other	dem_pro		pred_other		
kalamang	monyet	0014	#	#	##	##				
kalamang	monyet	0014	ZERO	ZERO	0.d:a	0	d	a	403	
kalamang	monyet	0014	ZERO	ZERO	0:p	0		p	405	
kalamang	monyet	0014	ukir	measure	v:pred	v		pred		
kalamang	monyet	0014	=te	=NFIN	=rv	=rv				
kalamang	monyet	0015	#	#	#nc	#nc				
kalamang	monyet	0015	sen	cent	other	other				
kalamang	monyet	0015	putkon-kon	ten-RED	other	other				
kalamang	monyet	0016	#	#	##	##				
kalamang	monyet	0016	mu	3PL	pro.d:a	pro	d	a	403	
kalamang	monyet	0016	he	IAM	other	other				
kalamang	monyet	0017	ZERO	ZERO	0:p	0		p	405	
kalamang	monyet	0017	merengguen-da	gather-NFIN	v:pred	v		pred		
kalamang	monyet	0017	me	TOP	other	other				
kalamang	monyet	0018	#	#	##	##				
kalamang	monyet	0018	leki	monkey	np.d:s_ds	np	d	s_ds	401	
kalamang	monyet	0018	toni	say	v:pred	v		pred		
